magicfile2.0
2291382769158160|47|55519
175921994797057|47|61480
140756849348609|47|52161
141838118290434|47|75799
692693416050689|47|93104
146235184910348|47|97088
1143769120374786|47|98177
4225462112878593|47|93247
36046664150288641|47|58851
72058212513624066|47|75837
288230926050279696|47|66521
144132791000371201|47|96543
9223389629179398209|47|104516
9073202298884|47|98500
576478619375765505|47|64780
288250167898013729|47|87345
220676391406928130|47|62813
351882375888912|47|68897
1152921779618988035|47|88043
2614339722201309187|47|82167
1126181227216898|47|95005
7205759440300032001|47|98081
1733885933847379986|47|110192
86131506116035843|47|91624
4611686568284389394|47|52525
2307251483642462736|47|61015
1459236649119645697|47|85388
20970986352410658|47|89243
1266638469005330|47|92796
4613964207598075939|47|86222
9245907627244783654|47|85273
18049583284225029|47|98577
153122672945987591|47|56271
1441294817278624004|47|94492
70407399161858|47|33967
577762848952844290|47|94953
9007474267918338|47|89417
578747805211295772|47|88781
46161904770748486|47|99382
5765170610428051457|47|80139
576751023440269344|47|43609
9295570441412284448|47|77481
5770254235996296|47|113023
36028951654564360|47|65213
70370891670020|47|71711
38421411764649985|47|96376
36099165914144809|47|108849
2305847481348399363|47|96567
1155173347925983238|47|57231
73781628614279170|47|65250
13835339532406366274|47|89723
19140307142901762|47|88847
140737622573074|47|94895
13844065598147395588|47|87359
297246373714460674|47|89158
145522631680983045|47|80427
9007749078059009|47|130407
288305280415828001|47|130166
581580371037130753|47|129997
288248002731311169|47|127989
44263933477889|47|126190
4540984097113089|47|122460
4536060086785|47|116424
144117593325701121|47|85327
Bishop
211664850913281|54|613
141291539669056|54|254
281749988974592|54|127
2305860618714898432|54|192
144185625556287496|54|191
4508002103197697|54|223
144150389661433984|54|251
54060797487350017|54|415
55173498875740177|54|434
145242187527881737|52|2846
9009398815424513|52|911
4625199016601321760|52|1007
1126724809134080|52|1119
2323875008532717602|52|1249
290279659799056|52|993
9223653546744938528|54|379
325772105467830337|54|401
72374270633713681|52|2141
1188967893845418497|50|12269
9295719901996515842|50|8543
1170940302245101584|50|8341
1161084346105866|50|7939
36037593397233665|52|1246
2253999113789449|54|255
37436311539294242|54|255
844562383896722|52|1893
141287261079554|50|11933
9404643021376455681|48|52847
288371115796004865|48|33791
4647732413001138192|50|7125
18594975008718852|52|1032
36138765362663429|54|271
13836254876046721057|54|247
18016601827737650|52|1043
4629700554392608897|50|9985
1161946297159155969|48|50819
13835059156404453377|48|62431
1152930438208036865|50|8253
36046939097145604|52|1351
9232414558092525841|54|239
564060227633221|54|295
18155153186226433|52|1279
581069913638043651|50|7563
2269394214453249|50|9977
9227902025298616641|50|12293
2594356239299248129|50|13822
144256063137415236|52|1829
4701898886776619009|54|231
18032007892320516|54|267
11260167316316161|52|1087
9225624111613485060|52|2014
36039809323500546|52|1015
9008315948368386|52|1888
142970873454849|52|2303
594545607606011969|52|3395
108194152055054753|54|506
1154082597476761728|54|431
9024862312202368|54|267
76701948350333056|54|191
2353229895630921|54|207
11241688374672891912|54|191
1297318743218593825|54|191
9009406888912898|54|231
2306546842692749329|54|267
